model,eval,metah
GBM,7776,'comb'
VC,7776,'comb'
RF,7776,'comb'
ET,7776,'comb'
AB,7776,'comb'
k-NN,7776,'comb'
GNB,7776,'comb'
DT,7776,'comb'
SVC,7776,'comb'
LDA,7776,'comb'
LoR,7776,'comb'
MLP,7776,'comb'
GBM,425,'eas'
VC,426,'eas'
RF,408,'eas'
ET,341,'eas'
AB,358,'eas'
k-NN,368,'eas'
GNB,439,'eas'
DT,421,'eas'
SVC,402,'eas'
LDA,460,'eas'
LoR,334,'eas'
MLP,386,'eas'
GBM,926,'edas'
VC,866,'edas'
RF,710,'edas'
ET,808,'edas'
AB,702,'edas'
k-NN,672,'edas'
GNB,749,'edas'
DT,775,'edas'
SVC,808,'edas'
LDA,782,'edas'
LoR,768,'edas'
MLP,785,'edas'
