Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[6 1 2 3 5],0.6999533203940742,0.015875148338955078,0.7212166408414628,0.17973427772521972
LinearDiscriminantAnalysis,[5 1 3 3 1],0.7358627422165306,0.01856460186946578,0.6106791102555155,0.019293999671936034
GaussianNB,[6 1 3 3 1],0.8469747748822231,0.014854246653747455,0.35750057065553187,0.019668316841125487
MLPClassifier,[4 1 2 1 1],0.6689097651639272,0.03135136005778715,0.892085279788096,1.421872878074646
SVC,[6 6 3 3 5],0.8295629185335068,0.017179428101797494,0.5119659817229028,0.8426565170288086
DecisionTreeClassifier,[6 1 3 3 3],0.8430729321963145,0.015424944805398124,0.3876788351301265,0.019152736663818358
KNeighborsClassifier,[6 1 2 3 1],0.866290178305206,0.010901447751831559,0.30628143889658394,0.02021458148956299
RandomForestClassifier,[6 1 3 3 3],0.8782724074184507,0.012472339510025845,0.22897113153040102,0.03962762355804443
ExtraTreesClassifier,[4 1 3 3 5],0.8702983152584582,0.018388092878321872,0.2924106076224305,0.03914966583251953
GradientBoostingClassifier,[6 1 3 3 5],0.9142716753064886,0.008520148013728803,0.18531643206326417,4.126150274276734
AdaBoostClassifier,[6 1 3 3 3],0.8768024330610054,0.01570342665578256,0.2540167661033368,0.4685373067855835
VotingClassifier,[6 1 2 3 5],0.8865145075301575,0.011366890607349706,0.2519317983050821,3.381737565994263
